word,freq,english_word
文化,70,culture
数字,70,digital
科技,56,science and technology
创作,56,creation
阅读,56,read
发展,48,develop
北京,46,Beijing
成都,44,Chengdu
产业,41,industry
内容,29,content
大会,28,Convention
融合,26,Fusion
中轴,26,central axis
中轴线,25,Central Axis
创新,25,Innovation
智能,25,intelligent
技术,24,technology
中国,22,China
企业,22,enterprise
学习,21,study
艺术,20,Art
推动,19,promote
国际,19,international
智慧,19,wisdom
文创,19,Cultural and creative
小冰,19,Xiaobing
书店,19,bookstore
传统,18,Tradition
作品,18,work
显示,18,show
体验,17,Experience
打造,17,Build
城市,17,City
计划,16,plan
建设,16,Build
活动,16,Activity
应用,16,application
助力,15,Help
结合,15,Combine
提供,15,supply
不断,15,Constantly
进行,15,conduct
亿元,15,100 million yuan
利用,14,use
全国,14,Nationwide
生成,14,generate
音乐创作,14,Music creation
有限公司,14,"Co., Ltd."
作曲,14,Composition
推出,13,roll out
平台,13,platform
歌曲,13,song
公司,13,company
消费,12,Consumption
项目,12,project
世界,12,world
实现,12,accomplish
数据,12,data
领域,12,field
研究,12,Research
天坛,11,Temple of Heaven
中心,11,center
系列,11,series
之美,11,beauty of
场景,11,Scenes
观众,11,audience
设备,11,equipment
系统,11,system
团队,11,team
记者,11,reporter
人类,11,Humanity
老师,11,teacher
表达,10,Express
文脉,10,unity and coherence in writing
手段,10,means
一首,10,a
继续,10,continue
故事,10,story
专区,10,Zone
专业,10,major
目前,10,at present
机器人,10,robot
音乐教育,10,musical education
不同,10,different
文旅,9,Cultural tourism
推广,9,Promotion
展现,9,Show
历史,9,history
加快,9,accelerate
重点,9,emphasis
古建筑,9,Ancient building
方面,9,aspect
推进,9,Advance
未来,9,future
表示,9,express
完成,9,Finish
成果展,9,Exhibition
过程,9,process
人才,9,Talent
小兵,9,Small soldier
时代,8,era
单曲,8,Single
原创,8,Original
关注,8,focus on
编曲,8,Arrange
持续,8,continued
丰富,8,Rich
演唱,8,Sing
特色,8,feature
视觉,8,Vision
吸引,8,attract
互动,8,interactive
代表,8,represent
展示,8,exhibit
沉浸,8,Immerse
算法,8,algorithm
学生,8,student
现在,8,Now
营收,8,Revenue
规模,7,scale
建筑,7,architecture
形象,7,Image
行业,7,sector
赋能,7,Empowerment
相结合,7,Combine
歌词,7,lyrics
了解,7,learn
全面,7,comprehensive
本届,7,current
创意,7,Creativity
呈现,7,Present
模型,7,Model
年度,7,year
展区,7,Exhibition area
魅力,7,charm
运用,7,use
一个,7,one
带来,7,bring
现场,7,on site
动作,7,action
成为,7,become
大量,7,Large amount
经济,7,economy
空间,7,space
探索,7,explore
已经,7,already
能力,7,ability
上海音乐学院,7,Shanghai Conservatory of Music
贝多芬,7,Beadfen
用户,7,user
碎片,7,Fragmentation
西城区,7,Xicheng District
雪漠,7,Snow desert
图书,7,books
为主,6,Dominate
形成,6,form
工作,6,Work
背后,6,behind
一段,6,Section
北京市,6,Beijing
品牌,6,brand
音乐作品,6,musical work
支持,6,support
落地,6,Land
太庙,6,Tai Temple
整体,6,overall
引擎,6,engine
出版,6,publishing
相关,6,Related
多元,6,Diverse
阐释,6,Explain
数字化,6,Digitizing
模式,6,model
升级,6,upgrade
深入,6,Deepen
出现,6,Appear
合成,6,synthesis
钟鼓楼,6,Bell and Drum Tower
增长,6,increase
深度,6,depth
产品,6,product
自动,6,automatic
演奏,6,Play
影像,6,image
研发,6,Research and development
影视,6,Film and television
协同,6,Collaborate
需要,6,need
版权,6,copyright
诗歌,6,Poetry
毕业,6,graduate
作曲家,6,composer
陈鑫锋,6,Chen Xinfeng
音色,6,Tone
读书,6,read
拯救,6,save
审美,5,Aesthetic
带动,5,drive
古都,5,Ancient capital
上线,5,online
加入,5,join in
完整,5,whole
歌声,5,singing
政策,5,policy
发布,5,release
重要,5,important
优秀,5,excellent
进一步,5,further
景山,5,Mountains
强大,5,powerful
优美,5,beautiful
旋律,5,melody
全新,5,brand new
音高,5,pitch
接近,5,near
效果,5,Effect
展览,5,exhibition
超高,5,Super high
前沿技术,5,advanced technology
技术手段,5,Technical means
展出,5,display
钢琴,5,piano
没有,5,No
帮助,5,help
优质,5,high quality
国家,5,nation
可能,5,possible
制作,5,Make
文字,5,Word
问题,5,question
教授,5,professor
电子,5,electronic
博士,5,PhD
服务,5,Serve
基地,5,base
落户,5,Settle down
天府,5,Tianfu
创通,5,Chuangtong
介绍,5,introduce
于阳,5,In the sun
相比,5,compared to
万部,5,Thousand
小说,5,novel
老子,5,Lao Tzu
阅堂,5,Read a church
图书馆,5,library
捐赠,5,Donate
设计,4,design
独特,4,unique
厚重,4,Heavy
语言,4,language
时节,4,season
公众,4,public
高质量,4,high quality
互联网,4,internet
引导,4,guide
共同,4,common
期间,4,period
主要,4,main
方式,4,Way
碰撞,4,collision
重新,4,again
国风,4,National style
多个,4,Multiple
版本,4,Version
雪寒,4,Cold cold
钟鼓,4,Bell
将会,4,will
沿线,4,Along the line
方案,4,plan
文化遗产,4,Cultural heritage
新生,4,newborn
基础,4,Base
乐章,4,Movement
进入,4,Enter
整个,4,entire
景山公园,4,Jingshan Park
采用,4,use
突出,4,protrude
更加,4,more
提升,4,promote
很大,4,Great
获得,4,get
画面,4,Picture
公益,4,Public welfare
水平,4,level
引领,4,Lead
首都,4,capital
联网,4,networking
众多,4,numerous
板块,4,Section
起来,4,stand up
虚拟,4,virtual
视频,4,video
教学,4,teaching
娱乐,4,entertainment
游戏,4,game
极大,4,great
作词,4,Lyric
走进,4,Go into
环境,4,environment
全球,4,worldwide
捕捉,4,Capture
交互,4,Interaction
机器,4,machine
专注,4,Focus on
配乐,4,Soundtrack
实体,4,entity
天津,4,Tianjin
成立,4,Establish
创业,4,Entrepreneurship
合作,4,cooperate
高校,4,University
渠道,4,channel
声音,4,sound
计算机,4,computer
学院,4,College
包括,4,include
四川,4,Sichuan
报告,4,Report
融资,4,Financing
投资,4,invest
伴奏,4,Accompaniment
毕业生,4,graduate
反馈,4,feedback
陈世哲,4,Chen Shizhe
交响曲,4,symphony
透露,4,disclose
