word,freq,english_word
技术,1186,technology
歌手,918,singer
模型,856,model
生成,777,generate
孙燕姿,771,Stefanie Sun
aigc,688,aigc
人类,591,mankind
内容,566,content
平台,566,platform
声音,565,sound
发展,546,develop
创作,526,creation
数据,499,data
已经,485,already
公司,482,firm
进行,482,carry out
使用,464,use
智能,453,intelligent
可能,447,possible
问题,440,issue
视频,432,Video
歌曲,431,song
chatgpt,422,chatgpt
用户,401,user
训练,396,training
作品,391,opus
翻唱,389,cover song
领域,387,field
应用,385,apply
科技,378,science and technology
行业,374,industry
需要,371,need
目前,340,presently
未来,325,future
产品,311,products
实现,311,implement
表示,306,denote
没有,300,No
成为,299,become
平安,298,safe
发布,281,publish
学习,277,stusy
服务,268,serve
版权,268,copyright
产业,263,industry
数字,260,digit
虚拟,257,dummy
制作,253,make
能力,251,ability
工具,249,tool
相关,245,correlation
认为,245,think
中国,241,China
企业,235,enterprise
提供,235,offer
能够,235,can
场景,228,scenario
推出,228,launch
市场,227,market
带来,224,bring forth
音色,217,timbre
腾讯,212,Tencent
语音,210,Voice
出现,209,appear
侵权,196,Infringement
利用,195,exploit
openai,192,openai
工作,192,Job
知识,190,knowledge
很多,187,A lot
时代,184,era
机器人,182,robot
宇宙,181,universe
信息,180,Information
一种,179,A
保护,177,protection
现在,176,Right now
生成式,176,Generative
创新,175,innovation
法律,175,law
合成,174,synthesis
业务,171,business
金融,169,finance
深度,168,depth
提升,167,hoist
包括,166,include
演唱,165,singing
算法,164,algorithm
系统,163,system
音频,163,audio
生产,161,produce
网络,160,Internet
国内,159,domestic
方面,159,aspect
这种,159,This
全球,158,globe
完成,157,finish
方式,157,manner
过程,156,process
互联网,153,internet
研究,153,study
粉丝,152,A fan of someone
文本,150,text
价值,149,value
团队,146,team
世界,145,world
周杰伦,145,Jay
需求,145,demand
时间,144,Time
不同,142,different
体验,139,experience
功能,139,function
社会,139,society
游戏,138,Game
获得,138,obtain
不断,137,constant
背后,137,behind
集团,137,clique
图片,135,Image
处理,135,dispose
正在,134,ing
网易,134,NetEase
重要,134,significant
项目,134,project
存在,133,exist
教育,132,educate
其实,131,In fact
机器,131,machine
主要,130,main
今年,130,this year
增长,129,increase
是否,129,Whether
网友,128,Netizens
不能,126,No
大量,126,substantial
原创,125,Original
更加,125,more
对话,124,dialogue
谷歌,124,Google
创造,123,create
图像,122,image
美国,122,United States
研发,120,R&D
超越,120,transcend
打造,119,build
艺术家,119,artist
一定,118,certain
产生,117,produce
模式,116,mode
关注,114,concern
标题,114,title
社交,114,socializing
持续,113,persistent
支持,113,support
来看,113,Come and see
基础,112,foundation
影响,112,effect
有人,112,someone
创作者,110,creator
识别,109,identify
诈骗,109,scam
超过,109,exceed
发现,108,found
情感,108,emotion
探索,108,explore
非常,108,Very
不少,107,many
之后,107,afterwards
侵犯,107,infringe
模仿,107,imitate
要求,107,request
语言,107,language
风格,107,style
无法,105,unable
涉及,105,involve
真正,104,genuine
行为,103,behavior
风险,102,risk
gpt,101,gpt
理解,101,understand
rpa,100,rpa
取代,100,replace
效果,100,effect
偶像,99,idol
具有,99,have
娱乐,99,amusement
一直,98,always
情况,98,circumstance
直接,98,direct
管理,98,manage
快速,97,fast
融合,97,Fusion
音乐节,97,Music festivals
授权,96,authorization
规定,96,stipulate
帮助,95,Help
真人,95,Reality
输入,95,input
上线,94,Online
任务,94,task
合作,94,cooperate
越来越,94,Getting
媒体,93,media
文化,93,culture
达到,93,attain
选择,93,choose
qq,92,qq
生活,92,life
音乐创作,92,Music composition
参与,91,participate
唱片,91,record
国家,91,country
开源,91,open source
成本,91,cost
报道,91,Reported
改变,91,change
活动,91,activity
深圳,91,Shenzhen
简单,91,Simple
讨论,91,discuss
城市,90,city
分析,89,analyse
素材,89,material
智慧,88,wisdom
核心,88,core
看到,88,see
艺术,88,art
开发,87,exploitation
得到,87,get
经济,86,economy
解决,86,solve
软件,86,Software
最后,85,At last
或许,85,maybe
提高,85,improve
作者,84,author
拥有,84,possess
方向,84,direction
来源,84,source
希望,83,wish
应该,83,Should
权利,83,right
百度,83,Baidu
落地,83,be born
觉得,83,felt
如今,82,now
引发,82,Cause
效率,82,efficiency
musiclm,81,musiclm
优势,81,advantage
客户,81,client
宣布,81,announce
完全,80,completely
提出,80,put forth
数字化,80,digitization
比较,80,compare
直播,80,live broadcast
播放,79,Play
进一步,79,further
人机,78,Human-machine
录音,78,recording
结合,78,combine
综合,78,synthesis
自动,78,automatic
阶段,78,stage
个人,77,individual
传统,77,tradition
文字,77,writing
进入,77,enter
报告,76,report
流程,76,process
著作权,76,copyright
这一,76,This
旗下,75,Its
显示,75,display
流量,75,flow rate
环球,75,Global
布局,74,layout
投资,74,investment
更好,74,better
特别,74,particularly
绘画,74,painting
记者,74,reporter
这是,74,This is
了解,73,understand
形成,73,formation
规模,73,scale
一位,72,A
之前,72,before
推动,72,nudge
用于,72,For
部分,72,part
音乐作品,72,Musical compositions
一首,71,One song
最近,71,Recent
唱歌,71,sing
在线音乐,71,Online music
安全,71,safe
微软,71,Microsoft
电影,71,Movie
空间,71,space
表达,71,expression
门槛,71,doorsill
明星,70,star
目标,70,target
自动化,70,automation
计算,70,compute
近日,70,recently
伦理,69,ethics
创业,69,entrepreneurship
整个,69,whole
构建,69,construct
辅助,69,auxiliary
过去,69,past
逐渐,69,gradually
专辑,68,album
人才,68,talent
公开,68,public
李志飞,68,Li Zhifei
流媒体,68,Streaming
著作权法,68,Copyright Law
设计,68,devise
酷狗,68,Cool dog
面对,68,confront
最大,67,utmost
大会,67,congress
属于,67,belong
搜索,67,Search
明确,66,explicit
歌词,66,lyrics
特征,66,features
专家,65,expert
主体,65,Subject
建设,65,construction
环境,65,environment
现实,65,reality
降低,65,lower
一次,64,once
亿美元,64,billion dollars
变化,64,variation
同样,64,equally
想要,64,want
收入,64,revenue
教学,64,teaching
肖像权,64,Portrait
介绍,63,introduce
创意,63,originality
多个,63,multiple
案例,63,Case
独立,63,independent
规则,63,rules
两个,62,Two
互动,62,interaction
优化,62,optimize
作画,62,Paint
复杂,62,complex
巨大,62,huge
律师,62,lawyer
新闻,62,News
计划,62,plan
责任,62,liability
高质量,62,Quality
亿元,61,100 million yuan
医疗,61,medical
升级,61,upgrade
喜欢,61,like
国际,61,international
学生,61,student
尝试,61,try
投入,61,input
构成,61,constitute
模拟,61,mock
突破,61,breakthrough
聊天,61,chat
陈珊妮,61,Shanni Chen
专业,60,specialized
东西,60,stuff
中心,60,centre
之间,60,between
几乎,60,almost
新歌,60,Song
独特,60,unique
知识产权,60,intellectual property
类似,60,similar
质量,60,quality
资源,60,resource
赋能,60,Empowering
华语,59,Chinese
商业化,59,commercialization
基本,59,essential
挑战,59,challenge
生态,59,ecology
一张,58,One sheet
人声,58,Vocals
代表,58,representative
具备,58,have
同比,58,Year-on-year
层面,58,Level
文章,58,essay
融资,58,financing
运营,58,operation
争议,57,controversy
小姐,57,Miss
正式,57,formal
相对,57,relatively
起来,57,Get up
抖音,56,Tik Tok
教师,56,teacher
程度,56,extent
观众,56,spectator
规范,56,specification
转换,56,conversion
预测,56,forecast
乐坛,55,Music
公众,55,public
动作,55,action
告诉,55,tell
形式,55,form
成熟,55,ripe
成立,55,establish
概念,55,conception
演唱会,55,Concert
话题,55,topic
通用,55,general
银行,55,Bank
面临,55,facing
具体,54,Specific
战略,54,stratagem
换脸,54,Face swap
支付,54,pay
昆仑,54,Kunlun
此前,54,Previously
湿地,54,wetland
竞争,54,compete
驱动,54,drive
tme,53,tme
最终,53,ultimately
创始人,53,founder
开放,53,opening
无论是,53,Either way
知道,53,Know
虚拟人,53,Virtual humans
资本,53,capital
走红,53,Popular
主题,52,topic
到底,52,finally
我国,52,Our country
机会,52,opportunity
机构,52,institution
视觉,52,vision
范围,52,range
计算机,52,Computer
赛道,52,Track
一场,51,A
代码,51,code
伪造,51,forge
保险,51,insurance
商业,51,commerce
明显,51,Plain as day
流行,51,popular
编辑,51,edit
付费,50,Pay
去年,50,Last year
发生,50,happen
导致,50,result in
小时,50,hour
引擎,50,engine
成果,50,achievement
推理,50,illation
